"Date","Price","Open","High","Low","Vol.","Change %"
"05/23/2021","24.930","24.475","26.915","24.455","2.93K","0.54%"
"05/16/2021","24.795","26.100","26.630","22.570","5.47K","-7.58%"
"05/09/2021","26.830","25.175","26.875","24.750","5.21K","12.07%"
"05/02/2021","23.940","23.815","24.950","22.995","3.10K","2.81%"
"04/25/2021","23.285","20.200","23.320","19.750","3.63K","16.16%"
"04/18/2021","20.045","20.875","21.540","19.710","5.48K","-2.41%"
"04/11/2021","20.540","19.395","20.800","19.260","5.70K","8.45%"
"04/04/2021","18.940","19.170","19.825","18.900","3.03K","-1.20%"
"03/28/2021","19.170","18.260","19.275","18.125","2.07K","2.51%"
"03/21/2021","18.700","17.270","18.825","17.270","8.23K","8.31%"
"03/14/2021","17.265","18.170","18.880","17.235","4.37K","-6.42%"
"03/07/2021","18.450","16.550","18.565","16.125","3.68K","12.74%"
"02/28/2021","16.365","16.000","16.450","15.500","2.53K","4.27%"
"02/21/2021","15.695","16.250","16.400","15.550","2.54K","-5.19%"
"02/14/2021","16.555","16.750","17.450","16.350","4.16K","-6.04%"
"02/07/2021","17.620","20.375","20.375","16.950","3.79K","-4.13%"
"01/31/2021","18.380","19.050","19.050","17.350","3.46K","-7.27%"
"01/24/2021","19.820","22.150","22.150","18.900","2.94K","-7.75%"
"01/17/2021","21.485","19.100","21.600","18.900","3.10K","6.36%"
"01/10/2021","20.200","21.350","26.085","19.625","1.99K","0.40%"
"01/03/2021","20.120","19.450","20.700","17.375","2.59K","5.20%"
"12/27/2020","19.125","19.150","19.275","19.000","0.22K","8.36%"
"12/20/2020","17.650","16.400","17.750","16.250","0.47K","11.11%"
"12/13/2020","15.885","16.450","17.265","15.690","0.94K","-0.47%"
"12/06/2020","15.960","14.100","15.825","14.100","1.73K","8.98%"
"11/29/2020","14.645","14.985","15.475","14.000","1.54K","1.10%"
"11/22/2020","14.485","13.300","14.600","13.300","1.55K","12.33%"
"11/15/2020","12.895","14.425","14.600","12.600","1.40K","-9.45%"
"11/08/2020","14.240","13.775","14.350","13.550","2.31K","2.45%"
"11/01/2020","13.900","13.515","14.500","13.515","1.83K","-1.14%"
"10/25/2020","14.060","15.150","15.390","13.925","1.93K","-8.76%"
